sep=,
Date,Category,Device,Clicks,Cost,Sales,"Order value","Tracked leads","Cost of tracked leads"
02/08/21,Damenmode,Mobile,1,0.1875,0,0.0,0,0.0
02/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
02/08/21,"Sportbekleidung Herren",Computer,17,4.59,0,0.0,0,0.0
02/08/21,"Sportbekleidung Herren",Mobile,16,3.2400000000000007,0,0.0,0,0.0
02/08/21,"Fahrradteile & Fahrradzubehör",Computer,89,44.5,0,0.0,0,0.0
02/08/21,"Fahrradteile & Fahrradzubehör",Mobile,40,15.0,0,0.0,0,0.0
02/08/21,Rucksäcke,Computer,7,3.5,0,0.0,0,0.0
02/08/21,Rucksäcke,Mobile,3,1.125,0,0.0,0,0.0
03/08/21,"Sportbekleidung Damen",Computer,3,0.81,0,0.0,0,0.0
03/08/21,"Sportbekleidung Herren",Computer,15,4.050000000000001,0,0.0,0,0.0
03/08/21,"Sportbekleidung Herren",Mobile,26,5.265000000000001,0,0.0,0,0.0
03/08/21,"Fahrradteile & Fahrradzubehör",Computer,108,54.0,0,0.0,0,0.0
03/08/21,"Fahrradteile & Fahrradzubehör",Mobile,38,14.25,0,0.0,0,0.0
03/08/21,Rucksäcke,Computer,8,4.0,0,0.0,0,0.0
03/08/21,Rucksäcke,Mobile,3,1.125,0,0.0,0,0.0
05/08/21,"Sportbekleidung Herren",Computer,15,4.050000000000001,0,0.0,0,0.0
05/08/21,"Sportbekleidung Herren",Mobile,12,2.4300000000000006,0,0.0,0,0.0
05/08/21,Taschen,Computer,2,0.5,0,0.0,0,0.0
05/08/21,"Fahrradteile & Fahrradzubehör",Computer,67,33.5,0,0.0,0,0.0
05/08/21,"Fahrradteile & Fahrradzubehör",Mobile,54,20.25,0,0.0,0,0.0
05/08/21,Rucksäcke,Computer,5,2.5,0,0.0,0,0.0
05/08/21,Rucksäcke,Mobile,6,2.25,0,0.0,0,0.0
05/08/21,"Sportbekleidung Kinder",Computer,1,0.27,0,0.0,0,0.0
08/08/21,"Sportbekleidung Herren",Computer,8,2.16,0,0.0,0,0.0
08/08/21,"Sportbekleidung Herren",Mobile,5,1.0125000000000002,0,0.0,0,0.0
08/08/21,"Fahrradteile & Fahrradzubehör",Computer,117,58.5,0,0.0,0,0.0
08/08/21,"Fahrradteile & Fahrradzubehör",Mobile,184,69.0,0,0.0,0,0.0
09/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
09/08/21,"Sportbekleidung Herren",Computer,12,3.24,0,0.0,0,0.0
09/08/21,"Sportbekleidung Herren",Mobile,13,2.6325000000000007,0,0.0,0,0.0
09/08/21,Taschen,Computer,2,0.5,0,0.0,0,0.0
09/08/21,"Fahrradteile & Fahrradzubehör",Computer,184,92.0,0,0.0,0,0.0
09/08/21,"Fahrradteile & Fahrradzubehör",Mobile,116,43.5,0,0.0,0,0.0
10/08/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
10/08/21,Damenmode,Mobile,1,0.1875,0,0.0,0,0.0
10/08/21,"Sportbekleidung Herren",Computer,18,4.859999999999999,0,0.0,0,0.0
10/08/21,"Sportbekleidung Herren",Mobile,32,6.4799999999999995,0,0.0,0,0.0
10/08/21,Taschen,Computer,5,1.25,0,0.0,0,0.0
10/08/21,"Fahrradteile & Fahrradzubehör",Computer,146,73.0,0,0.0,0,0.0
10/08/21,"Fahrradteile & Fahrradzubehör",Mobile,160,60.0,0,0.0,0,0.0
12/08/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
12/08/21,Herrenunterwäsche,Computer,1,0.25,0,0.0,0,0.0
12/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
12/08/21,"Sportbekleidung Herren",Computer,11,2.97,0,0.0,0,0.0
12/08/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,0,0.0
12/08/21,"Fahrradteile & Fahrradzubehör",Computer,91,45.5,0,0.0,0,0.0
12/08/21,"Fahrradteile & Fahrradzubehör",Mobile,30,11.25,0,0.0,0,0.0
14/08/21,Herrenunterwäsche,Computer,1,0.25,0,0.0,0,0.0
14/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
14/08/21,"Sportbekleidung Herren",Computer,8,2.16,0,0.0,0,0.0
14/08/21,"Sportbekleidung Herren",Mobile,1,0.2025,0,0.0,0,0.0
14/08/21,Taschen,Mobile,2,0.375,0,0.0,0,0.0
14/08/21,"Fahrradteile & Fahrradzubehör",Computer,115,57.5,0,0.0,0,0.0
14/08/21,"Fahrradteile & Fahrradzubehör",Mobile,54,20.25,0,0.0,0,0.0
15/08/21,"Sportbekleidung Herren",Computer,9,2.43,0,0.0,0,0.0
15/08/21,"Sportbekleidung Herren",Mobile,3,0.6075,0,0.0,0,0.0
15/08/21,Taschen,Mobile,2,0.375,0,0.0,0,0.0
15/08/21,"Fahrradteile & Fahrradzubehör",Computer,95,47.5,0,0.0,0,0.0
15/08/21,"Fahrradteile & Fahrradzubehör",Mobile,52,19.5,0,0.0,0,0.0
