Product Category (Enhanced E-commerce),Transaction ID,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Basket-to-Detail Rate,Buy-to-Detail Rate
Herren/Schuhe/Schnürer,DE01351712,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351734,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353928,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355851,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01357161,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01357286,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360349,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360563,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361952,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01362587,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366988,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347563,759.8,3,3,253.27,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340783,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341096,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342514,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342694,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344344,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01345083,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01345427,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347049,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347239,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347698,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348590,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349685,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349773,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349977,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350449,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350986,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351018,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351455,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351735,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01352220,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355512,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360871,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361654,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01362744,749.85,3,3,249.95,1,0,0.00%,0.00%
